Protokoll Versuch 1
Anzahl Wellenform auf 1
Picoscope setting datei öffnen

Mittelwert notieren:

Mittelwert muss positiv sein

cm			mV
Messwert	Mittelwert
10			1349
13			1188
16			1059
19			942,3
22			868,3
25			805,7
28			749,2
31			690,5
34			651,1
37			629,9
40			595,2
43			553,9
46			535,3
49			516,3
52			476,8
55			458,3
58			439,6
61			438,7
64			418,0
67			417,2
70			397,4			

DIN A4
29,7		704,3
21			862,7

// Python Berechnung
10 1.348606293778899
13 1.188338332240437
16 1.0593454600861705
19 0.9422708880128206
22 0.8682159075662046
25 0.8056663341288358
28 0.7491368855590583
31 0.6904930504592267
34 0.6511101496920977
37 0.6298625915531737
40 0.5952422504529212
43 0.5538551747078603
46 0.5353349117349725
49 0.516292314482976
52 0.4767991058984868
55 0.4582667302280369
58 0.4396033265079865
61 0.43869589409205534
64 0.41796839935477076
67 0.41720390158575016
70 0.3973853027448507

